"it","index","us","can","uk","ge","sw","sp","au"
155,1,104,116,134,130,114,120,107
229,2,174,156,189,159,214,165,128
322,3,222,198,246,196,268,222,128
453,4,337,257,295,262,337,259,200
655,5,451,341,374,482,374,400,250
888,6,519,441,429,670,491,500,297
1128,7,711,597,483,799,652,673,377
1694,8,1109,727,630,1040,652,1073,452
2036,9,1561,873,889,1176,1139,1695,568
2502,10,2157,1087,1301,1457,1359,2277,681
3089,11,2870,1331,1790,1908,2200,2277,791
3858,12,2968,1471,2270,2078,2200,5232,1071
4636,13,4360,2091,2634,3675,2700,6391,1549
5883,14,6141,2819,3077,4585,3028,7798,1682
7375,15,8917,3409,3692,5795,4075,9942,2044
9172,16,14157,4043,4462,7272,5294,11748,2364
10149,17,19479,4757,5467,9257,6575,13910,2810
12462,18,25825,5655,6533,12327,7474,17963,3143
15113,19,33761,6320,7791,15320,8795,20410,3640
17660,20,43850,7448,9006,19848,9877,25374,3984
21157,21,54112,8591,10395,22213,10897,28768,4361
24747,22,66055,10190,12744,24873,11811,35136,4559
27980,23,84091,11778,15126,29056,12928,39885,4862
31506,24,102276,12980,17843,32986,14076,49515,5116
35713,25,122069,14409,20970,37323,14829,57786,5330
41035,26,141205,15915,24219,43938,15922,65719,5550
47021,27,162707,17165,27062,50871,16605,73235,5687
53578,28,188724,18562,29954,57695,17768,80110,5797
59138,29,214205,19853,34281,62095,18827,87956,5895
63927,30,244610,21403,38815,66885,19606,95923,6010
69176,31,276547,22715,43789,71808,20505,104118,6108
74386,32,309699,23962,48718,77872,21100,112065,6215
80589,33,337573,25060,53699,84794,21657,119199,6303
86498,34,367215,26428,57772,91159,22253,126168,6315
92472,35,397992,27888,61422,96092,23280,131646,6351
97689,36,429686,29234,66738,100123,24051,136675,6415
101739,37,464442,30966,72224,103374,24551,141942,6440
105792,38,497943,32849,77387,107663,25107,148220,6462
110574,39,527969,34379,82293,113296,25415,153222,6522
115242,40,556522,36013,86660,118181,25688,158273,6568
119827,41,581813,37856,90273,122171,25936,163027,6610
124632,42,608878,39387,93812,124908,26336,166831,6623
128948,43,637974,41357,98017,127854,26732,170099,6645
132547,44,669272,43220,102365,130072,27078,172541,6652
135586,45,701996,44844,107465,131359,27404,177644,6662
139422,46,730337,46263,112808,134753,27740,184948,6677
